x,y,heading
367061.7370258699,3450685.2384702880,-2.6928757181
367061.4993891163,3450685.1240544678,-2.6928757420
367061.2617523598,3450685.0096386531,-2.6928757692
367061.0241155955,3450684.8952228427,-2.6928757961
367060.7864788283,3450684.7808070388,-2.6928758265
367060.5488420534,3450684.6663912400,-2.6928758486
367060.3112052756,3450684.5519754463,-2.6928758757
367060.0735684900,3450684.4375596568,-2.6928758994
367059.8903681916,3450684.3493535928,-2.6955952889
367059.6524919032,3450684.2356182914,-2.6955953127
367059.4146156118,3450684.1218829956,-2.6955953406
367059.1767393150,3450684.0081477053,-2.6955953636
367058.9388630130,3450683.8944124193,-2.6955953946
367058.7009867057,3450683.7806771398,-2.6955954208
367058.4631103930,3450683.6669418653,-2.6955954494
367058.2252340727,3450683.5532065956,-2.6955954717
367057.9873577494,3450683.4394713310,-2.6955954978
367057.7494814208,3450683.3257360714,-2.6955955480
367057.7383501013,3450683.3204138801,-2.7014471286
367057.4999637948,3450683.2081438662,-2.7014471541
367057.2615774854,3450683.0958738583,-2.7014471824
367057.0231911684,3450682.9836038551,-2.7014472038
367056.7848048460,3450682.8713338557,-2.7014472362
367056.5464185185,3450682.7590638632,-2.7014472607
367056.3080321857,3450682.6467938754,-2.7014472900
367056.0696458475,3450682.5345238936,-2.7014473121
367055.8312595066,3450682.4222539170,-2.7014473357
367055.5928731580,3450682.3099839436,-2.7014473650
367055.3544868042,3450682.1977139763,-2.7014473936
367055.1161004475,3450682.0854440159,-2.7014474188
367054.8777140832,3450681.9731740593,-2.7014474449
367054.6393277135,3450681.8609041078,-2.7014474710
367054.4009413386,3450681.7486341614,-2.7014474979
367054.1625549609,3450681.6363642216,-2.7014475263
367053.9241685756,3450681.5240942864,-2.7014475477
367053.6857821849,3450681.4118243549,-2.7014475817
367053.4473957890,3450681.2995544309,-2.7014476039
367053.2090093902,3450681.1872845120,-2.7014476290
367052.9706229838,3450681.0750145968,-2.7014476585
367052.7322365721,3450680.9627446877,-2.7014476805
367052.4938501576,3450680.8504747837,-2.7014477107
367052.3467664137,3450680.7812045757,-2.7033630978
367052.1082146539,3450680.6694145715,-2.7033631229
367051.8696628915,3450680.5576245734,-2.7033631563
367051.6311111213,3450680.4458345813,-2.7033631775
367051.3925593459,3450680.3340445929,-2.7033632028
367051.1540075677,3450680.2222546106,-2.7033632296
367050.9154557817,3450680.1104646325,-2.7033632603
367050.6769039907,3450679.9986746609,-2.7033632794
367050.4383521967,3450679.8868846935,-2.7033633078
367050.1998003951,3450679.7750947308,-2.7033633448
367049.9612485883,3450679.6633047764,-2.7033633574
367049.7226967787,3450679.5515148244,-2.7033633923
367049.4841449613,3450679.4397248789,-2.7033634183
367049.2455931387,3450679.3279349385,-2.7033634372
367049.0070413133,3450679.2161450023,-2.7033634735
367048.7684894803,3450679.1043550731,-2.7033634948
367048.5299376420,3450678.9925651476,-2.7033635202
367048.2913858009,3450678.8807752281,-2.7033635517
367048.0528339522,3450678.7689853143,-2.7033635690
367047.8142821006,3450678.6571954042,-2.7033636038
367047.5757302414,3450678.5454055006,-2.7033636315
367047.3371783769,3450678.4336156026,-2.7033636503
367047.0986265097,3450678.3218257087,-2.7033636804
367046.8600746347,3450678.2100358200,-2.7033636941
367046.7766084484,3450678.1709219990,-2.7033630992
367046.5380566202,3450678.0591319632,-2.7033631300
367046.2995047868,3450677.9473419338,-2.7033631482
367046.0609529481,3450677.8355519073,-2.7033631860
367045.8224011018,3450677.7237618882,-2.7033632114
367045.5838492527,3450677.6119718752,-2.7033632343
367045.3452973982,3450677.5001818663,-2.7033632602
367045.1067455387,3450677.3883918626,-2.7033632847
367044.8681936738,3450677.2766018636,-2.7033633125
367044.6296418036,3450677.1648118701,-2.7033633432
367044.3910899283,3450677.0530218831,-2.7033633646
367044.1525380476,3450676.9412318999,-2.7033633920
367043.9139861619,3450676.8294419223,-2.7033634167
367043.6754342708,3450676.7176519493,-2.7033634474
367043.4368823745,3450676.6058619828,-2.7033634735
367043.1983304729,3450676.4940720215,-2.7033634931
367042.9597785661,3450676.3822820634,-2.7033635287
367042.7212266541,3450676.2704921132,-2.7033635484
367042.4826747369,3450676.1587021663,-2.7033635794
367042.2441228143,3450676.0469122259,-2.7033636005
367042.0055708865,3450675.9351222892,-2.7033636329
367041.7670189536,3450675.8233323595,-2.7033636574
367041.5284670154,3450675.7115424345,-2.7033636905
367041.2899150695,3450675.5997525156,-2.7033636894
367041.2064504473,3450675.5606394270,-2.6903634505
367040.9690361052,3450675.4455950856,-2.6903634831
367040.7316217578,3450675.3305507512,-2.6903635063
367040.4942074050,3450675.2155064209,-2.6903635327
367040.2567930468,3450675.1004620958,-2.6903635669
367040.0193786834,3450674.9854177781,-2.6903635837
367039.7819643145,3450674.8703734628,-2.6903636179
367039.5445499403,3450674.7553291549,-2.6903636436
367039.3071355582,3450674.6402848507,-2.6903636619
367039.0697211757,3450674.5252405517,-2.6903637008
367038.8323067831,3450674.4101962592,-2.6903637146
367038.5948923898,3450674.2951519703,-2.6903637520
367038.3574779864,3450674.1801076876,-2.6903637728
